City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Des,Date
227,Mildura,AU,-34.2,142.15,60.8,59,0,8.05,clear sky,2021-03-28 16:10:03
228,Nanortalik,GL,60.1432,-45.2371,27.46,67,22,6.62,few clouds,2021-03-28 16:10:04
229,Jumla,NP,29.2747,82.1838,48.79,50,94,3.8,overcast clouds,2021-03-28 16:10:04
230,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,40,6.91,scattered clouds,2021-03-28 16:10:04
231,Gayny,RU,60.3071,54.3241,28.38,91,59,6.26,broken clouds,2021-03-28 16:10:05
232,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,40,10.36,scattered clouds,2021-03-28 16:10:05
233,Hokitika,NZ,-42.7167,170.9667,59.43,94,64,4.54,broken clouds,2021-03-28 16:10:05
234,Semey,KZ,50.4111,80.2275,35.47,99,100,7.99,overcast clouds,2021-03-28 16:10:06
235,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.6,55,40,4.61,scattered clouds,2021-03-28 16:09:24
236,Luorong,CN,24.4058,109.6086,76.26,78,18,2.59,few clouds,2021-03-28 16:10:06
237,Zhangye,CN,38.9342,100.4517,46.24,49,15,4.7,few clouds,2021-03-28 16:10:06
238,Gat,IL,31.61,34.7642,62.01,56,18,10.98,few clouds,2021-03-28 16:10:07
239,Van,TR,38.4924,43.3831,35.6,55,20,5.75,few clouds,2021-03-28 16:10:07
240,Loubomo,CG,-4.1997,12.6739,77.0,90,100,3.33,moderate rain,2021-03-28 16:10:07
241,Perelyub,RU,51.8667,50.3667,32.72,98,100,12.64,snow,2021-03-28 16:10:07
242,Teluk Nibung,ID,3.001,99.8164,79.29,85,13,3.4,few clouds,2021-03-28 16:10:08
243,Lumberton,US,34.6182,-79.0086,80.6,69,75,16.11,broken clouds,2021-03-28 16:09:50
244,Geraldton,AU,-28.7667,114.6,69.8,78,40,5.75,scattered clouds,2021-03-28 16:10:08
245,College,US,64.8569,-147.8028,3.2,72,75,2.04,broken clouds,2021-03-28 16:09:57
246,Olafsvik,IS,64.8945,-23.7142,30.58,83,100,17.85,light snow,2021-03-28 16:10:08
247,Dunedin,NZ,-45.8742,170.5036,54.0,95,91,3.0,overcast clouds,2021-03-28 16:10:09
248,Vila,PT,42.0304,-8.1588,72.0,29,0,4.0,clear sky,2021-03-28 16:10:09
249,Half Moon Bay,US,37.4636,-122.4286,59.0,71,20,2.84,few clouds,2021-03-28 16:10:09
250,Umm Lajj,SA,25.0213,37.2685,73.76,56,5,22.84,clear sky,2021-03-28 16:10:10
251,Nong Phai,TH,15.9903,101.0618,91.99,46,36,1.79,scattered clouds,2021-03-28 16:10:10
252,Viedma,AR,-40.8135,-62.9967,76.28,15,11,10.85,few clouds,2021-03-28 16:10:10
253,Demba,CD,-5.51,22.2667,79.3,68,93,2.91,overcast clouds,2021-03-28 16:09:18
254,Aguas Verdes,PE,-3.4814,-80.245,86.0,54,40,6.91,scattered clouds,2021-03-28 16:10:11
255,Tessalit,ML,20.1986,1.0114,88.48,5,0,12.91,clear sky,2021-03-28 16:10:11
256,Isangel,VU,-19.55,169.2667,76.71,87,5,5.93,clear sky,2021-03-28 16:10:11
257,Margate,GB,51.3813,1.3862,54.0,70,100,7.0,overcast clouds,2021-03-28 16:10:11
258,Tehuixtla,MX,18.55,-99.2667,80.01,31,40,1.41,scattered clouds,2021-03-28 16:10:12
259,Tomatlan,MX,19.9333,-105.25,83.07,26,99,3.0,overcast clouds,2021-03-28 16:10:12
260,Gujrat,PK,32.5728,74.079,78.8,57,40,8.23,smoke,2021-03-28 16:10:12
